Year,Month,Day,Count
12,11,04,731
12,11,05,890
12,11,06,786
12,11,07,875
12,11,08,853
12,11,09,1001
12,11,10,977
12,11,11,884
12,11,12,795
12,11,13,826
12,11,14,847
12,11,15,947
12,11,16,941
12,11,17,874
12,11,18,849
12,11,19,866
12,11,20,925
12,11,21,892
12,11,22,660
12,11,23,787
12,11,24,838
12,11,25,813
12,11,26,799
12,11,27,808
12,11,28,858
12,11,29,916
12,11,30,991
12,12,01,1058
12,12,02,842
12,12,03,933
12,12,04,917
12,12,05,861
12,12,06,876
12,12,07,897
12,12,08,778
12,12,09,761
12,12,10,853
12,12,11,826
12,12,12,914
12,12,13,808
12,12,14,954
12,12,15,858
12,12,16,789
12,12,17,829
12,12,18,851
12,12,19,877
12,12,20,828
12,12,21,778
12,12,22,732
12,12,23,763
12,12,24,709
12,12,25,522
12,12,26,621
12,12,27,684
12,12,28,855
12,12,29,806
12,12,30,707
12,12,31,740
13,01,01,1413
13,01,02,750
13,01,03,774
13,01,04,866
13,01,05,788
13,01,06,698
13,01,07,818
13,01,08,755
13,01,09,884
13,01,10,848
13,01,11,905
13,01,12,763
13,01,13,709
13,01,14,744
13,01,15,841
13,01,16,831
13,01,17,849
13,01,18,927
13,01,19,885
13,01,20,688
13,01,21,665
13,01,22,692
13,01,23,797
13,01,24,863
13,01,25,824
13,01,26,797
13,01,27,704
13,01,28,907
13,01,29,906
13,01,30,856
13,01,31,753
13,02,01,889
13,02,02,738
13,02,03,592
13,02,04,728
13,02,05,789
13,02,06,826
13,02,07,753
13,02,08,816
13,02,09,800
13,02,10,762
13,02,11,760
13,02,12,784
13,02,13,860
13,02,14,749
13,02,15,933
13,02,16,691
13,02,17,692
13,02,18,756
13,02,19,749
13,02,20,768
13,02,21,768
13,02,22,763
13,02,23,697
13,02,24,676
13,02,25,757
13,02,26,674
13,02,27,825
13,02,28,808
13,03,01,1004
13,03,02,766
13,03,03,717
13,03,04,814
13,03,05,696
13,03,06,724
13,03,07,832
13,03,08,880
13,03,09,838
13,03,10,694
13,03,11,824
13,03,12,841
13,03,13,824
13,03,14,841
13,03,15,878
13,03,16,827
13,03,17,773
13,03,18,794
13,03,19,771
13,03,20,789
13,03,21,759
13,03,22,864
13,03,23,783
13,03,24,789
13,03,25,758
13,03,26,775
13,03,27,775
13,03,28,833
13,03,29,873
13,03,30,868
13,03,31,767
13,04,01,953
13,04,02,839
13,04,03,827
13,04,04,934
13,04,05,900
13,04,06,808
13,04,07,796
13,04,08,896
13,04,09,825
13,04,10,852
13,04,11,813
13,04,12,922
13,04,13,842
13,04,14,827
13,04,15,843
13,04,16,862
13,04,17,719
13,04,18,797
13,04,19,847
13,04,20,804
13,04,21,773
13,04,22,915
13,04,23,764
13,04,24,907
13,04,25,875
13,04,26,962
13,04,27,869
13,04,28,794
13,04,29,904
13,04,30,861
13,05,01,1168
13,05,02,827
13,05,03,903
13,05,04,913
13,05,05,827
13,05,06,878
13,05,07,909
13,05,08,965
13,05,09,837
13,05,10,915
13,05,11,833
13,05,12,833
13,05,13,895
13,05,14,906
13,05,15,1037
13,05,16,973
13,05,17,988
13,05,18,946
13,05,19,850
13,05,20,961
13,05,21,931
13,05,22,910
13,05,23,840
13,05,24,935
13,05,25,838
13,05,26,778
13,05,27,771
13,05,28,848
13,05,29,904
13,05,30,946
13,05,31,933
13,06,01,1081
13,06,02,832
13,06,03,914
13,06,04,858
13,06,05,904
13,06,06,960
13,06,07,878
13,06,08,923
13,06,09,831
13,06,10,888
13,06,11,856
13,06,12,830
13,06,13,916
13,06,14,1008
13,06,15,897
13,06,16,957
13,06,17,1022
13,06,18,930
13,06,19,900
13,06,20,969
13,06,21,904
13,06,22,922
13,06,23,889
13,06,24,825
13,06,25,913
13,06,26,953
13,06,27,875
13,06,28,910
13,06,29,903
13,06,30,934
13,07,01,1078
13,07,02,879
13,07,03,879
13,07,04,946
13,07,05,989
13,07,06,886
13,07,07,903
13,07,08,884
13,07,09,884
13,07,10,872
13,07,11,885
13,07,12,947
13,07,13,947
13,07,14,946
13,07,15,1018
13,07,16,907
13,07,17,932
13,07,18,920
13,07,19,904
13,07,20,918
13,07,21,929
13,07,22,1002
13,07,23,925
13,07,24,964
13,07,25,918
13,07,26,991
13,07,27,895
13,07,28,859
13,07,29,891
13,07,30,891
13,07,31,843
13,08,01,1025
13,08,02,969
13,08,03,972
13,08,04,922
13,08,05,853
13,08,06,905
13,08,07,940
13,08,08,911
13,08,09,987
13,08,10,1019
13,08,11,896
13,08,12,983
13,08,13,900
13,08,14,882
13,08,15,924
13,08,16,925
13,08,17,944
13,08,18,882
13,08,19,938
13,08,20,962
13,08,21,864
13,08,22,905
13,08,23,906
13,08,24,941
13,08,25,949
13,08,26,942
13,08,27,885
13,08,28,902
13,08,29,872
13,08,30,934
13,08,31,816
13,09,01,1113
13,09,02,928
13,09,03,873
13,09,04,839
13,09,05,926
13,09,06,897
13,09,07,921
13,09,08,866
13,09,09,868
13,09,10,916
13,09,11,872
13,09,12,857
13,09,13,887
13,09,14,829
13,09,15,835
13,09,16,776
13,09,17,837
13,09,18,854
13,09,19,851
13,09,20,946
13,09,21,904
13,09,22,757
13,09,23,849
13,09,24,921
13,09,25,886
13,09,26,856
13,09,27,965
13,09,28,923
13,09,29,758
13,09,30,833
13,10,01,1099
13,10,02,869
13,10,03,859
13,10,04,874
13,10,05,852
13,10,06,743
13,10,07,777
13,10,08,801
13,10,09,881
13,10,10,855
13,10,11,871
13,10,12,821
13,10,13,779
13,10,14,783
13,10,15,783
13,10,16,801
13,10,17,778
13,10,18,837
13,10,19,778
13,10,20,808
13,10,21,779
13,10,22,750
13,10,23,751
13,10,24,766
13,10,25,843
13,10,26,745
13,10,27,750
13,10,28,840
13,10,29,851
13,10,30,831
13,10,31,921
13,11,01,1012
13,11,02,776
13,11,03,798
13,11,04,830
13,11,05,828
13,11,06,785
13,11,07,772
13,11,08,864
13,11,09,773
13,11,10,753
13,11,11,686
13,11,12,688
13,11,13,826
13,11,14,765
13,11,15,934
13,11,16,763
13,11,17,740
13,11,18,858
13,11,19,850
13,11,20,869
13,11,21,863
13,11,22,852
13,11,23,672
13,11,24,640
13,11,25,680
13,11,26,831
13,11,27,733
13,11,28,567
13,11,29,807
13,11,30,746
13,12,01,875
13,12,02,790
13,12,03,856
13,12,04,867
13,12,05,764
13,12,06,725
13,12,07,649
13,12,08,610
13,12,09,629
13,12,10,635
13,12,11,650
13,12,12,661
13,12,13,799
13,12,14,653
13,12,15,630
13,12,16,707
13,12,17,756
13,12,18,763
13,12,19,798
13,12,20,859
13,12,21,784
13,12,22,753
13,12,23,679
13,12,24,542
13,12,25,426
13,12,26,604
13,12,27,735
13,12,28,741
13,12,29,718
13,12,30,640
13,12,31,561
14,01,01,1195
14,01,02,484
14,01,03,562
14,01,04,577
14,01,05,404
14,01,06,367
14,01,07,467
14,01,08,598
14,01,09,614
14,01,10,635
14,01,11,654
14,01,12,687
14,01,13,761
14,01,14,687
14,01,15,745
14,01,16,688
14,01,17,746
14,01,18,663
14,01,19,648
14,01,20,695
14,01,21,590
14,01,22,624
14,01,23,624
14,01,24,687
14,01,25,678
14,01,26,595
14,01,27,546
14,01,28,595
14,01,29,728
14,01,30,752
14,01,31,744
14,02,01,789
14,02,02,580
14,02,03,677
14,02,04,645
14,02,05,559
14,02,06,611
14,02,07,693
14,02,08,602
14,02,09,648
14,02,10,620
14,02,11,595
14,02,12,606
14,02,13,642
14,02,14,695
14,02,15,638
14,02,16,585
14,02,17,598
14,02,18,632
14,02,19,710
14,02,20,648
14,02,21,718
14,02,22,647
14,02,23,631
14,02,24,634
14,02,25,649
14,02,26,662
14,02,27,613
14,02,28,700
14,03,01,737
14,03,02,551
14,03,03,594
14,03,04,627
14,03,05,637
14,03,06,660
14,03,07,758
14,03,08,684
14,03,09,621
14,03,10,815
14,03,11,698
14,03,12,660
14,03,13,718
14,03,14,827
14,03,15,844
14,03,16,638
14,03,17,705
14,03,18,818
14,03,19,761
14,03,20,783
14,03,21,801
14,03,22,737
14,03,23,647
14,03,24,697
14,03,25,700
14,03,26,724
14,03,27,719
14,03,28,786
14,03,29,771
14,03,30,737
14,03,31,736
14,04,01,922
14,04,02,725
14,04,03,715
14,04,04,811
14,04,05,752
14,04,06,709
14,04,07,762
14,04,08,748
14,04,09,776
14,04,10,811
14,04,11,785
14,04,12,872
14,04,13,679
14,04,14,688
14,04,15,748
14,04,16,772
14,04,17,836
14,04,18,787
14,04,19,754
14,04,20,689
14,04,21,730
14,04,22,736
14,04,23,737
14,04,24,768
14,04,25,848
14,04,26,778
14,04,27,672
14,04,28,723
14,04,29,788
14,04,30,798
14,05,01,875
14,05,02,864
14,05,03,745
14,05,04,721
14,05,05,845
14,05,06,825
14,05,07,769
14,05,08,767
14,05,09,863
14,05,10,817
14,05,11,744
14,05,12,813
14,05,13,813
14,05,14,787
14,05,15,753
14,05,16,841
14,05,17,803
14,05,18,859
14,05,19,787
14,05,20,764
14,05,21,834
14,05,22,789
14,05,23,807
14,05,24,759
14,05,25,824
14,05,26,778
14,05,27,764
14,05,28,801
14,05,29,776
14,05,30,828
14,05,31,848
14,06,01,1035
14,06,02,876
14,06,03,898
14,06,04,775
14,06,05,803
14,06,06,859
14,06,07,869
14,06,08,773
14,06,09,823
14,06,10,673
14,06,11,773
14,06,12,822
14,06,13,936
14,06,14,842
14,06,15,882
14,06,16,872
14,06,17,888
14,06,18,771
14,06,19,824
14,06,20,887
14,06,21,865
14,06,22,867
14,06,23,830
14,06,24,861
14,06,25,855
14,06,26,826
14,06,27,898
14,06,28,853
14,06,29,906
14,06,30,801
14,07,01,1008
14,07,02,819
14,07,03,886
14,07,04,838
14,07,05,898
14,07,06,873
14,07,07,899
14,07,08,817
14,07,09,854
14,07,10,821
14,07,11,943
14,07,12,810
14,07,13,849
14,07,14,813
14,07,15,817
14,07,16,845
14,07,17,808
14,07,18,874
14,07,19,868
14,07,20,844
14,07,21,810
14,07,22,833
14,07,23,861
14,07,24,853
14,07,25,925
14,07,26,875
14,07,27,890
14,07,28,873
14,07,29,804
14,07,30,793
14,07,31,861
14,08,01,1079
14,08,02,895
14,08,03,846
14,08,04,782
14,08,05,825
14,08,06,808
14,08,07,842
14,08,08,818
14,08,09,887
14,08,10,855
14,08,11,874
14,08,12,760
14,08,13,856
14,08,14,795
14,08,15,863
14,08,16,854
14,08,17,862
14,08,18,815
14,08,19,776
14,08,20,834
14,08,21,778
14,08,22,816
14,08,23,822
14,08,24,856
14,08,25,778
14,08,26,804
14,08,27,782
14,08,28,738
14,08,29,885
14,08,30,867
14,08,31,830
14,09,01,1012
14,09,02,799
14,09,03,723
14,09,04,748
14,09,05,843
14,09,06,814
14,09,07,823
14,09,08,687
14,09,09,788
14,09,10,706
14,09,11,748
14,09,12,718
14,09,13,685
14,09,14,760
14,09,15,738
14,09,16,749
14,09,17,796
14,09,18,868
14,09,19,876
14,09,20,846
14,09,21,791
14,09,22,769
14,09,23,835
14,09,24,836
14,09,25,750
14,09,26,879
14,09,27,892
14,09,28,837
14,09,29,799
14,09,30,781
14,10,01,976
14,10,02,805
14,10,03,779
14,10,04,723
14,10,05,716
14,10,06,722
14,10,07,758
